route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
66502,1,10,VAN HORNE,,3,,FF0000,FFFFFF
66503,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
66504,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
66505,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
66506,1,104,FAYWOOD,,3,,FF0000,FFFFFF
66507,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
66508,1,106,SENTINEL,,3,,FF0000,FFFFFF
66509,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
66510,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
